movie_id,title,overview,poster_path,source_genre,genres,poster_file,Drama,Comedy,Documentary,Romance,Action,Thriller,Horror,Crime,Music,Animation,TV Movie,Family
2,Ariel,A Finnish man goes to the city to find a job after the mine where he worked is closed and his father commits suicide.,/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg,"['Romance', 'Crime']","['Romance', 'Comedy', 'Drama', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/2.jpg,1,1,0,1,0,0,0,1,0,0,0,0
3,Shadows in Paradise,"Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.",/nj01hspawPof0mJmlgfjuLyJuRN.jpg,['Romance'],"['Romance', 'Comedy', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/3.jpg,1,1,0,1,0,0,0,0,0,0,0,0
5,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,"['Comedy', 'Crime']","['Comedy', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/5.jpg,0,1,0,0,0,0,0,1,0,0,0,0
6,Judgment Night,"Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.",/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg,"['Thriller', 'Action', 'Crime']","['Thriller', 'Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/6.jpg,0,0,0,0,1,1,0,1,0,0,0,0
11,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,['Action'],"['Adventure', 'Science Fiction', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/11.jpg,0,0,0,0,1,0,0,0,0,0,0,0
12,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,"['Family', 'Animation']","['Family', 'Animation']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/12.jpg,0,0,0,0,0,0,0,0,0,1,0,1
13,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,"['Romance', 'Comedy', 'Drama']","['Romance', 'Comedy', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/13.jpg,1,1,0,1,0,0,0,0,0,0,0,0
14,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",/s5PXkDqS8W3K4wCPNZBzf10zycw.jpg,['Drama'],['Drama'],/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/14.jpg,1,0,0,0,0,0,0,0,0,0,0,0
15,Citizen Kane,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,['Drama'],"['Drama', 'Mystery']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/15.jpg,1,0,0,0,0,0,0,0,0,0,0,0
16,Dancer in the Dark,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles – even if just for a moment – by dreaming up little numbers to the rhythmic beats of her surroundings.",/9rsivF4sWfmBzrNr4LPu6TNJhXX.jpg,"['Drama', 'Crime']","['Drama', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/16.jpg,1,0,0,0,0,0,0,1,0,0,0,0
