movie_id,title,overview,poster_path,source_genre,genres,poster_file,Drama,Comedy,Documentary,Romance,Action,Thriller,Horror,Crime,Music,Animation,TV Movie,Family,title_length,overview_word_count,num_genres
3,Shadows in Paradise,"Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.",/nj01hspawPof0mJmlgfjuLyJuRN.jpg,['Romance'],"['Romance', 'Comedy', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/3.jpg,1,1,0,1,0,0,0,0,0,0,0,0,19,38,3
5,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,"['Comedy', 'Crime']","['Comedy', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/5.jpg,0,1,0,0,0,0,0,1,0,0,0,0,10,38,2
6,Judgment Night,"Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.",/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg,"['Thriller', 'Action', 'Crime']","['Thriller', 'Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/6.jpg,0,0,0,0,1,1,0,1,0,0,0,0,14,25,3
11,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,['Action'],"['Adventure', 'Science Fiction', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/11.jpg,0,0,0,0,1,0,0,0,0,0,0,0,9,52,1
12,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,"['Family', 'Animation']","['Family', 'Animation']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/12.jpg,0,0,0,0,0,0,0,0,0,1,0,1,12,53,2
14,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",/s5PXkDqS8W3K4wCPNZBzf10zycw.jpg,['Drama'],['Drama'],/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/14.jpg,1,0,0,0,0,0,0,0,0,0,0,0,15,26,1
15,Citizen Kane,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,['Drama'],"['Drama', 'Mystery']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/15.jpg,1,0,0,0,0,0,0,0,0,0,0,0,12,51,1
16,Dancer in the Dark,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles – even if just for a moment – by dreaming up little numbers to the rhythmic beats of her surroundings.",/9rsivF4sWfmBzrNr4LPu6TNJhXX.jpg,"['Drama', 'Crime']","['Drama', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/16.jpg,1,0,0,0,0,0,0,1,0,0,0,0,18,73,2
18,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,['Action'],"['Adventure', 'Science Fiction', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/18.jpg,0,0,0,0,1,0,0,0,0,0,0,0,17,28,1
19,Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",/vZIJxGnjcswPCAa52jhbl01FQkV.jpg,['Drama'],"['Science Fiction', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/19.jpg,1,0,0,0,0,0,0,0,0,0,0,0,10,32,1
21,The Endless Summer,"Bruce Brown's The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer.",/hinHiXl8sOGIz2TLIZNpO5rhjND.jpg,['Documentary'],['Documentary'],/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/21.jpg,0,0,1,0,0,0,0,0,0,0,0,0,18,55,1
22,Pirates of the Caribbean: The Curse of the Black Pearl,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,['Action'],"['Adventure', 'Action', 'Fantasy']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/22.jpg,0,0,0,0,1,0,0,0,0,0,0,0,54,45,1
24,Kill Bill: Vol. 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,"['Action', 'Crime']","['Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/24.jpg,0,0,0,0,1,0,0,1,0,0,0,0,17,24,2
25,Jarhead,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",/4rCzaZy5Qkvxh5xaVpHriXSLTgC.jpg,['Drama'],"['War', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/25.jpg,1,0,0,0,0,0,0,0,0,0,0,0,7,70,1
35,The Simpsons Movie,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",/gzb6P78zeFTnv9eoFYnaJ2YrZ5q.jpg,"['Comedy', 'Family', 'Animation']","['Comedy', 'Family', 'Animation']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/35.jpg,0,1,0,0,0,0,0,0,0,1,0,1,18,24,3
58,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,['Action'],"['Adventure', 'Action', 'Fantasy']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/58.jpg,0,0,0,0,1,0,0,0,0,0,0,0,42,33,1
63,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,['Thriller'],"['Thriller', 'Science Fiction', 'Mystery']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/63.jpg,0,0,0,0,0,1,0,0,0,0,0,0,14,95,1
65,8 Mile,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg,"['Music', 'Drama']","['Music', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/65.jpg,1,0,0,0,0,0,0,0,1,0,0,0,6,53,2
66,Absolute Power,"A master thief coincidentally is robbing a house where a murder—in which the President of the United States is involved—occurs in front of his eyes. He is forced to run, while holding evidence that could convict the President.",/jiwy7YaPHLN8s1SuXWGgQLKKNKE.jpg,"['Action', 'Crime']","['Drama', 'Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/66.jpg,1,0,0,0,1,0,0,1,0,0,0,0,14,38,3
68,Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",/2w09J0KUnVtJvqPYu8N63XjAyCR.jpg,['Comedy'],"['Comedy', 'Science Fiction']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/68.jpg,0,1,0,0,0,0,0,0,0,0,0,0,6,72,1
71,Billy Elliot,"County Durham, England, 1984. The miners' strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.",/nOr5diUZxphmAD3li9aiILyI28F.jpg,"['Music', 'Comedy', 'Drama']","['Music', 'Comedy', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/71.jpg,1,1,0,0,0,0,0,0,1,0,0,0,12,82,3
73,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,['Drama'],['Drama'],/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/73.jpg,1,0,0,0,0,0,0,0,0,0,0,0,18,83,1
74,War of the Worlds,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",/oZmJ6hD2dc6zLCIPgw8onPMo0QC.jpg,['Thriller'],"['Thriller', 'Adventure', 'Science Fiction']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/74.jpg,0,0,0,0,0,1,0,0,0,0,0,0,17,38,1
77,Memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",/fKTPH2WvH8nHTXeBYBVhawtRqtR.jpg,['Thriller'],"['Thriller', 'Mystery']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/77.jpg,0,0,0,0,0,1,0,0,0,0,0,0,7,61,1
81,Nausicaä of the Valley of the Wind,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",/tcrkfB8SRPQCgwI88hQScua6nxh.jpg,['Animation'],"['Adventure', 'Animation', 'Fantasy']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/81.jpg,0,0,0,0,0,0,0,0,0,1,0,0,34,58,1
82,Miami Vice,"A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.",/1KGD2g0wOc7WBfHc5G19reLHQxk.jpg,"['Thriller', 'Action', 'Crime']","['Thriller', 'Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/82.jpg,0,0,0,0,1,1,0,1,0,0,0,0,10,48,3
85,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,['Action'],"['Adventure', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/85.jpg,0,0,0,0,1,0,0,0,0,0,0,0,23,39,1
87,Indiana Jones and the Temple of Doom,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",/om61eim8XwLfh6QXzh2r0Q4blBz.jpg,['Action'],"['Adventure', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/87.jpg,0,0,0,0,1,0,0,0,0,0,0,0,36,37,1
88,Dirty Dancing,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg,"['Romance', 'Music', 'Drama']","['Romance', 'Music', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/88.jpg,1,0,0,1,0,0,0,0,1,0,0,0,13,35,3
89,Indiana Jones and the Last Crusade,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,['Action'],"['Adventure', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/89.jpg,0,0,0,0,1,0,0,0,0,0,0,0,34,111,1
91,Land Without Bread,"An exploration —manipulated and staged— of life in Las Hurdes, in the province of Cáceres, in Extremadura, Spain, as it was in 1932. Insalubrity, misery and lack of opportunities provoke the emigration of young people and the solitude of those who remain in the desolation of one of the poorest and least developed Spanish regions at that time. (Silent short, voiced in 1937 and 1996.)",/nTizDiDbiVPCGqC6uMVDp8GoEeP.jpg,['Documentary'],['Documentary'],/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/91.jpg,0,0,1,0,0,0,0,0,0,0,0,0,18,65,1
93,Anatomy of a Murder,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.",/b2G1QSAwtBv9luhEwErIgSRaU92.jpg,"['Drama', 'Crime']","['Drama', 'Mystery', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/93.jpg,1,0,0,0,0,0,0,1,0,0,0,0,19,63,2
95,Armageddon,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,"['Thriller', 'Action']","['Thriller', 'Adventure', 'Science Fiction', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/95.jpg,0,0,0,0,1,1,0,0,0,0,0,0,10,75,2
96,Beverly Hills Cop II,"Axel Foley returns to the land of sunshine and palm trees to investigate the near-fatal shooting of police Captain Andrew Bogomil. With the help of Sgt. Taggart and Det. Rosewood, they soon uncover that the shooting is associated with a series of ""alphabet"" robberies masterminded by a heartless weapons kingpin—and the chase is on.",/egDakU8O5yUwpUJP9IMAUVtIDll.jpg,"['Comedy', 'Action', 'Crime']","['Comedy', 'Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/96.jpg,0,1,0,0,1,0,0,1,0,0,0,0,20,54,3
97,Tron,"When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...And becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment.",/zwSFEczP7AzqugAHHIX3zHniT0t.jpg,['Action'],"['Adventure', 'Science Fiction', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/97.jpg,0,0,0,0,1,0,0,0,0,0,0,0,4,59,1
98,Gladiator,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,"['Drama', 'Action']","['Adventure', 'Drama', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/98.jpg,1,0,0,0,1,0,0,0,0,0,0,0,9,46,2
106,Predator,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,/k3mW4qfJo6SKqe6laRyNGnbB9n5.jpg,"['Thriller', 'Action']","['Thriller', 'Adventure', 'Science Fiction', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/106.jpg,0,0,0,0,1,1,0,0,0,0,0,0,8,23,2
107,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",/8KSDI7ijEv7QVZdIyrLw5Gnhhr8.jpg,"['Comedy', 'Crime']","['Comedy', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/107.jpg,0,1,0,0,0,0,0,1,0,0,0,0,6,23,2
109,Three Colors: White,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikołaj to smuggle him back to their homeland.",/fdIet3NSa27gobMbaUml66oCQNT.jpg,['Comedy'],"['Comedy', 'Drama', 'Mystery']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/109.jpg,1,1,0,0,0,0,0,0,0,0,0,0,19,53,2
111,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,"['Drama', 'Action', 'Crime']","['Drama', 'Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/111.jpg,1,0,0,0,1,0,0,1,0,0,0,0,8,76,3
115,The Big Lebowski,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",/9mprbw31MGdd66LR0AQKoDMoFRv.jpg,"['Comedy', 'Crime']","['Comedy', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/115.jpg,0,1,0,0,0,0,0,1,0,0,0,0,16,49,2
116,Match Point,"Chris, a former tennis player, looks for work as an instructor. He meets Tom Hewett, a wealthy young man whose sister Chloe falls in love with Chris. But Chris has his eye on Tom's fiancee Nola.",/vHjEVTD8ucuwKSFOZJeyAnTZYli.jpg,"['Romance', 'Drama', 'Thriller', 'Crime']","['Thriller', 'Drama', 'Romance', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/116.jpg,1,0,0,1,0,1,0,1,0,0,0,0,11,36,4
117,The Untouchables,"Elliot Ness, an ambitious prohibition agent, is determined to take down Al Capone. In order to achieve this goal, he forms a group given the nickname “The Untouchables”.",/iK4twY48a1nVCez0qXE5w4JFvXw.jpg,"['Thriller', 'Crime']","['Thriller', 'History', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/117.jpg,0,0,0,0,0,1,0,1,0,0,0,0,16,28,2
120,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,['Action'],"['Adventure', 'Action', 'Fantasy']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/120.jpg,0,0,0,0,1,0,0,0,0,0,0,0,49,63,1
